restaurant_id,restaurant_name,rating,n_comment,rank,url
82,Platinum Grill,4,102,"#82 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3731384-Reviews-Platinum_Grill-Surabaya_East_Java_Java.html
83,Sate Babi Papua,5,21,"#83 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d14089869-Reviews-Sate_Babi_Papua-Surabaya_East_Java_Java.html
84,Ayam Goreng Asli Pemuda,4,60,"#84 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7357043-Reviews-Ayam_Goreng_Asli_Pemuda-Surabaya_East_Java_Java.html
85,Warung Enak LARRIS,4.5,39,"#85 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4378674-Reviews-Warung_Enak_LARRIS-Surabaya_East_Java_Java.html
86,Indigo Bar & Restaurant,4,53,"#86 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4233629-Reviews-Indigo_Bar_Restaurant-Surabaya_East_Java_Java.html
87,Depot Nasi Campur Tambak Bayan,4,60,"#87 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7368678-Reviews-Depot_Nasi_Campur_Tambak_Bayan-Surabaya_East_Java_Java.html
88,Nishimura,4.5,49,"#88 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7146128-Reviews-Nishimura-Surabaya_East_Java_Java.html
89,Bakso Boedjangan,4,58,"#89 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d13170419-Reviews-Bakso_Boedjangan-Surabaya_East_Java_Java.html
90,Istana Berkat,4,38,"#90 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7047475-Reviews-Istana_Berkat-Surabaya_East_Java_Java.html
91,Ayam Tulang Lunak Malioboro,4,66,"#91 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3451350-Reviews-Ayam_Tulang_Lunak_Malioboro-Surabaya_East_Java_Java.html
92,Fish & Co.,4,50,"#92 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3972343-Reviews-Fish_Co-Surabaya_East_Java_Java.html
93,Loving Hut,4,53,"#93 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3440257-Reviews-Loving_Hut-Surabaya_East_Java_Java.html
94,Mie Tidar Ibukota Jakarta,4,46,"#94 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6489875-Reviews-Mie_Tidar_Ibukota_Jakarta-Surabaya_East_Java_Java.html
95,Ta Wan Plaza Tunjungan,4,44,"#95 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8625787-Reviews-Ta_Wan_Plaza_Tunjungan-Surabaya_East_Java_Java.html
96,Ta Wan Plaza Surabaya,4,46,"#96 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7298566-Reviews-Ta_Wan_Plaza_Surabaya-Surabaya_East_Java_Java.html
97,My Kopi-O! Ciputra World,4,42,"#97 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6489802-Reviews-My_Kopi_O_Ciputra_World-Surabaya_East_Java_Java.html
